headline,source,datetime,headline,sentiment,score,date
Buy Any Of 18 Ideal 'Safer' May Dividend Dogs Out Of 70 Graham Value All-Stars (GVAS),SeekingAlpha,2025-05-23 09:59:10,Buy Any Of 18 Ideal 'Safer' May Dividend Dogs Out Of 70 Graham Value All-Stars (GVAS),neutral,0.8934968709945679,2025-05-27
"Morgan Stanley Lifts Price Target on Helmerich & Payne (HP), Keeps Equal Weight Rating",Yahoo,2025-05-22 20:18:01,"Morgan Stanley Lifts Price Target on Helmerich & Payne (HP), Keeps Equal Weight Rating",positive,0.8635050654411316,2025-05-27
Valaris' Comeback: The Strongest Is Yet To Come,SeekingAlpha,2025-05-22 11:58:10,Valaris' Comeback: The Strongest Is Yet To Come,neutral,0.5895887017250061,2025-05-27
Helmerich & Payne (HP) is Among the Energy Stocks That Fell the Most This Week,Yahoo,2025-05-21 06:38:43,Helmerich & Payne (HP) is Among the Energy Stocks That Fell the Most This Week,negative,0.9737148284912109,2025-05-27
Helmerich & Payne (HP) Downgraded at Citi,Yahoo,2025-05-20 01:16:16,Helmerich & Payne (HP) Downgraded at Citi,negative,0.6121968626976013,2025-05-27
